"","writer","score","review"
"38","Tomris Laffly","80","
                                Occasionally too busy and loose with its logical rigor, Toy Story 4 doesn¡¯t quite connect all the dots. Still, the film earns a distinct spot in the chain, foregrounding Bob Pauley¡¯s pristinely lit production design, one that showcases a kaleidoscopic carnival and a dusty antique shop swarming with hilariously nightmarish ventriloquist dummies.
                                    "
"39","James Berardinelli","75","
                                Even though Toy Story 4 sometimes feels like a regurgitation and retread of the earlier films, there¡¯s something warm and comforting about spending 100 minutes in their company again. 
                                    "
"40","Gary Thompson","75","
                                A funny, freaky, often profound animated adventure that is certainly the best movie ever made about a spork.
                                    "
"41","Barry Hertz","75","
                                Still, once the end credits rolled <U+2013> including superfluous ¡°bonus¡± scenes wrapping up various narrative threads <U+2013> I couldn¡¯t help but empathize with that talking spork. Freedom, sweet freedom! For now.
                                    "
"42","Josh Larsen","75","
                                No, Toy Story 4 isn¡¯t necessary. Yes, Toy Story 4 is fun. Does it end in a way that¡¯s worthy of the series, and Woody in particular? We¡¯ll get there.
                                    "
"43","Mick LaSalle","75","
                                Toy Story 4 is genuinely gripping for most of the way, with just a couple of minor dips. But it arrives at a lovely place, with an embrace of life in all its danger and uncertainty.
                                    "
"44","Lindsey Bahr","75","
                                Toy Story 4 is a blast and it¡¯s great to be back with the gang.
                                    "
"45","Scott Tobias","75","
                                While it falls short of its predecessors, the film is generally more confident and inventive than any of the non-Toy Story Pixar sequels.
                                    "
"46","A.A. Dowd ","75","
                                The basic pleasures of this fourth installment may be at once more hectic and more shopworn, but the film preserves, at least, the pathology of its series: that anxiety about finding meaning and your own place on the shelf.
                                    "
"47","Brian Truitt","75","
                                The animation is also top-notch: Bo has a bunch of dazzling scenes as a porcelain warrior, and human characters look better than ever. With the emphasis on Woody¡¯s tale, Buzz and the other returning toys spend much of the movie as side characters, but it turns into a true romp when everyone's plots coincide.
                                    "
"48","Pat Brown","75","
                                The film seamlessly interweaves fun escapades and earnest emotions, but it lacks the visual power of its predecessor.
                                    "
"49","Darren Franich","75","
                                Toy Story 4 doesn¡¯t hit the emotional highs of the previous films. There are good jokes that work and heist setpieces that don¡¯t. The ending is moving, though now you distrust any finality with this saga. It does feel a bit cheap, somehow.
                                    "
"50","Luke Parker","70","
                                Toy Story 4 is as mediocre a Toy Story movie as there is and probably can be, but it also marks another unbelievable triumph at Pixar in their never-ending quest to realize the imagination.
                                    "
"51","Manohla Dargis","70","
                                In other words, the movie is exactly what you expect <U+2014> not more, not less <U+2014> from an estimably well-oiled machine like Pixar.
                                    "
"52","Bill Goodykoontz","70","
                                The ¡°Toy Story¡± saga felt fully complete without it, which makes this a movie that doesn¡¯t really need to exist, but whose existence doesn¡¯t diminish the whole, either.
                                    "
"53","Matt Singer","70","
                                In my mind, there¡¯s no question Toy Story 4 is the weakest movie in the series. But it¡¯s also the riskiest and the most pleasantly unpredictable.
                                    "
"54","Kimberley Jones","67","
                                Twenty-four years ago, the original Toy Story broke ground as the first-ever entirely computer animated feature film. What¡¯s more astonishing now is how all those ones and zeroes are harnessed to produce something so utterly lifelike. 
                                    "
"55","Roger Moore","63","
                                It¡¯s easily the weakest of the four iterations of that title. If Disney and Pixar really needed to revisit a tale that they had gracefully ended, it should have been more of a victory lap. This, whatever its modest charms, has the feel of an end zone dance <U+2014> crass, unnecessary, and a slightly pale reflection of the glories that warranted it.
                                    "
"56","Johnny Oleksinski","63","
                                Does it tug the heartstrings? Absolutely. Is it funny? The funniest of the quartet, in fact thanks to a weird new character. But Pixar, like its former funder Apple, has conditioned audiences to expect more than a nice little movie. We want to be amazed <U+2014> not subscribe to Apple TV+.
                                    "
"57","Peter Bradshaw","60","
                                It may only be a repeat of earlier ideas and plotlines, but compare it to the fourth films in other franchises and Pixar¡¯s latest is an amusing and charming gem.
                                    "
